step,epoch,loss,train_ppl,learning_rate,eval_loss,eval_ppl
39800,13.036357680969537,1.8367,6.275793931734077,4.068854990407562e-05,,
40000,13.101867016049788,1.789,5.98346600764497,4.064175752187544e-05,,
40200,13.167376351130036,1.8,6.0496474644129465,4.059496513967526e-05,,
40400,13.232885686210285,1.7898,5.988254695670901,4.0548172757475086e-05,,
40600,13.298395021290533,1.7958,6.0242922283303715,4.050138037527491e-05,,
40800,13.363904356370783,1.8158,6.145991004055416,4.0454587993074724e-05,,
41000,13.429413691451032,1.8092,6.105561029106682,4.040779561087455e-05,,
41200,13.49492302653128,1.7836,5.95124237331976,4.036100322867437e-05,,
41400,13.560432361611529,1.8195,6.168773292012353,4.03142108464742e-05,,
41600,13.625941696691779,1.8149,6.140462100531552,4.026741846427402e-05,,
41800,13.691451031772027,1.8021,6.0623650729034075,4.0220626082073844e-05,,
42000,13.756960366852276,1.8297,6.23201677302401,4.0173833699873666e-05,,
42200,13.822469701932526,1.7929,6.006847088547032,4.012704131767349e-05,,
42400,13.887979037012775,1.8169,6.1527553138481945,4.0080248935473305e-05,,
42600,13.953488372093023,1.8084,6.100678533542023,4.003345655327313e-05,,
42742,14.0,,,,1.8661166429519653,6.463148887720942
42800,14.018997707173272,1.7986,6.041183883851546,3.998666417107295e-05,,
43000,14.084507042253522,1.7632,5.831066985513206,3.993987178887277e-05,,
43200,14.15001637733377,1.765,5.841572358085994,3.9893079406672595e-05,,
43400,14.215525712414019,1.7935,6.010452278248916,3.984628702447242e-05,,
43600,14.281035047494267,1.7724,5.884960331042166,3.979949464227224e-05,,
43800,14.346544382574518,1.7841,5.954218738535716,3.975270226007206e-05,,
44000,14.412053717654766,1.772,5.8826068176438095,3.9705909877871885e-05,,
44200,14.477563052735015,1.7884,5.979877004848893,3.965911749567171e-05,,
44400,14.543072387815263,1.776,5.906184368579529,3.9612325113471524e-05,,
44600,14.608581722895513,1.7995,6.046623396760655,3.9565532731271346e-05,,
44800,14.674091057975762,1.7795,5.92689223149038,3.951874034907117e-05,,
45000,14.73960039305601,1.8129,6.1281934490714995,3.9471947966871e-05,,
45200,14.805109728136259,1.7838,5.952432740827207,3.942515558467082e-05,,
45400,14.870619063216509,1.7833,5.949457268386892,3.9378363202470644e-05,,
45600,14.936128398296757,1.7839,5.953028013864445,3.9331570820270466e-05,,
45795,15.0,,,,1.869106650352478,6.48250267028359
45800,15.001637733377006,1.7847,5.957792341752594,3.928477843807029e-05,,
46000,15.067147068457254,1.7842,5.954814190181655,3.9237986055870105e-05,,
46200,15.132656403537505,1.7638,5.834566675506521,3.919119367366993e-05,,
46400,15.198165738617753,1.7631,5.8304839079690165,3.914440129146975e-05,,
46600,15.263675073698002,1.7462,5.732776681490428,3.909760890926957e-05,,
46800,15.32918440877825,1.7677,5.857365915160292,3.9050816527069395e-05,,
47000,15.3946937438585,1.797,6.031525718230289,3.900402414486922e-05,,
47200,15.460203078938749,1.7757,5.904412779020677,3.895723176266904e-05,,
47400,15.525712414018997,1.7519,5.765546814729568,3.891043938046886e-05,,
47600,15.591221749099248,1.7784,5.920376234491119,3.8863646998268685e-05,,
47800,15.656731084179496,1.7857,5.963753113983731,3.88168546160685e-05,,
48000,15.722240419259744,1.7515,5.763241057185928,3.8770062233868324e-05,,
48200,15.787749754339993,1.7855,5.962560482628046,3.8723269851668146e-05,,
48400,15.853259089420243,1.7638,5.834566675506521,3.867647746946797e-05,,
48600,15.918768424500492,1.7476,5.74080818958837,3.86296850872678e-05,,
48800,15.98427775958074,1.7622,5.825238833089584,3.858289270506762e-05,,
48848,16.0,,,,1.8861764669418335,6.59410763007377
49000,16.04978709466099,1.7506,5.758056473647012,3.8536100322867443e-05,,
49200,16.11529642974124,1.7439,5.719606446698888,3.8489307940667266e-05,,
49400,16.180805764821486,1.743,5.7144611166426955,3.844251555846708e-05,,
49600,16.246315099901736,1.7446,5.723611572842184,3.8395723176266904e-05,,
49800,16.311824434981986,1.7396,5.695064941029631,3.834893079406673e-05,,
50000,16.377333770062233,1.7364,5.676869860873052,3.830213841186655e-05,,
50200,16.442843105142483,1.7537,5.775934144788555,3.825534602966637e-05,,
50400,16.508352440222733,1.7427,5.712747035432738,3.8208553647466195e-05,,
50600,16.57386177530298,1.748,5.743104972190102,3.816176126526602e-05,,
50800,16.63937111038323,1.7262,5.6192600975608205,3.811496888306584e-05,,
51000,16.704880445463477,1.7446,5.723611572842184,3.806817650086566e-05,,
51200,16.770389780543727,1.7447,5.724183962618481,3.8021384118665485e-05,,
51400,16.835899115623977,1.756,5.789234082386751,3.79745917364653e-05,,
51600,16.901408450704224,1.7674,5.855608968940855,3.7927799354265123e-05,,
51800,16.966917785784474,1.7529,5.771315245278869,3.7881006972064946e-05,,
51901,17.0,,,,1.8624242544174194,6.439328435117368
52000,17.032427120864725,1.7332,5.658732911913455,3.783421458986477e-05,,
52200,17.09793645594497,1.7229,5.600747102481292,3.77874222076646e-05,,
52400,17.16344579102522,1.7209,5.589556802306604,3.774062982546442e-05,,
52600,17.22895512610547,1.7362,5.675734600430705,3.769383744326424e-05,,
52800,17.29446446118572,1.7405,5.700192806669964,3.764704506106406e-05,,
53000,17.35997379626597,1.728,5.629383874402168,3.760025267886388e-05,,
53200,17.425483131346216,1.7201,5.585086945046054,3.7553460296663704e-05,,
53400,17.490992466426466,1.7214,5.5923522795188205,3.750666791446353e-05,,
53600,17.556501801506716,1.7315,5.649121238200668,3.745987553226335e-05,,
53800,17.622011136586963,1.734,5.663261709520492,3.741308315006317e-05,,
54000,17.687520471667213,1.7173,5.569470574721075,3.7366290767862995e-05,,
54200,17.753029806747463,1.7495,5.75172609387319,3.731949838566282e-05,,
54400,17.81853914182771,1.7193,5.5806206622413415,3.727270600346264e-05,,
54600,17.88404847690796,1.7172,5.568913655510028,3.722591362126246e-05,,
54800,17.949557811988207,1.7318,5.650816228808007,3.717912123906228e-05,,
54954,18.0,,,,1.8490206003189087,6.353593766638957
55000,18.015067147068457,1.7215,5.592911542709466,3.71323288568621e-05,,
55200,18.080576482148707,1.7025,5.4876493805561015,3.708553647466192e-05,,
55400,18.146085817228954,1.7208,5.588997874573225,3.7038744092461746e-05,,
55600,18.211595152309204,1.7061,5.507440521004484,3.699195171026157e-05,,
55800,18.277104487389455,1.7248,5.611398637730156,3.69451593280614e-05,,
56000,18.3426138224697,1.6755,5.341465214108346,3.689836694586122e-05,,
56200,18.40812315754995,1.7009,5.478876161993683,3.685157456366104e-05,,
56400,18.4736324926302,1.7026,5.488198172933319,3.680478218146086e-05,,
56600,18.53914182771045,1.7098,5.527855795900337,3.675798979926068e-05,,
56800,18.6046511627907,1.7242,5.608032808397292,3.6711197417060504e-05,,
57000,18.670160497870945,1.7111,5.53504668149793,3.6664405034860327e-05,,
57200,18.735669832951196,1.7127,5.543909844828182,3.661761265266015e-05,,
57400,18.801179168031446,1.7243,5.60859363971923,3.657082027045997e-05,,
57600,18.866688503111693,1.7021,5.4854547597573005,3.6524027888259794e-05,,
57800,18.932197838191943,1.7063,5.508542119264838,3.647723550605962e-05,,
58000,18.99770717327219,1.7215,5.592911542709466,3.643044312385944e-05,,
58007,19.0,,,,1.8553099632263184,6.393679749112283
58200,19.06321650835244,1.6923,5.431959856275598,3.638365074165926e-05,,
58400,19.12872584343269,1.6799,5.365019442351748,3.633685835945908e-05,,
58600,19.194235178512937,1.6958,5.45100502537655,3.62900659772589e-05,,
58800,19.259744513593187,1.6898,5.418396917372569,3.624327359505872e-05,,
59000,19.325253848673437,1.6853,5.394068910313773,3.6196481212858546e-05,,
59200,19.390763183753684,1.684,5.387061176744107,3.614968883065837e-05,,
59400,19.456272518833934,1.7075,5.515156337545219,3.610289644845819e-05,,
59600,19.521781853914185,1.6957,5.45045995212813,3.605610406625802e-05,,
59800,19.58729118899443,1.7011,5.47997204681091,3.6009311684057836e-05,,
60000,19.65280052407468,1.6807,5.369313175169758,3.596251930185766e-05,,
60200,19.718309859154928,1.6898,5.418396917372569,3.591572691965748e-05,,
60400,19.78381919423518,1.7018,5.483809370150155,3.5868934537457304e-05,,
60600,19.84932852931543,1.7125,5.542801173730022,3.5822142155257126e-05,,
60800,19.914837864395675,1.7004,5.476137408658076,3.577534977305695e-05,,
61000,19.980347199475926,1.7034,5.4925904881635015,3.572855739085677e-05,,
61060,20.0,,,,1.862162709236145,6.437644480019289
61200,20.045856534556176,1.6667,5.2946665364131285,3.5681765008656594e-05,,
61400,20.111365869636423,1.661,5.264572785823539,3.563497262645642e-05,,
61600,20.176875204716673,1.6583,5.2503776114108405,3.558818024425624e-05,,
61800,20.24238453979692,1.6784,5.3569779458184,3.5541387862056055e-05,,
62000,20.30789387487717,1.6722,5.323867431213548,3.549459547985588e-05,,
62200,20.37340320995742,1.6712,5.318546224828962,3.54478030976557e-05,,
62400,20.438912545037667,1.6688,5.305797019055919,3.540101071545552e-05,,
62600,20.504421880117917,1.6767,5.347878819759034,3.5354218333255345e-05,,
62800,20.569931215198167,1.6843,5.3886775375391265,3.530742595105517e-05,,
63000,20.635440550278414,1.6915,5.427616026154298,3.526063356885499e-05,,
63200,20.700949885358664,1.6708,5.3164192317660035,3.521384118665482e-05,,
63400,20.76645922043891,1.7079,5.517362841351578,3.5167048804454636e-05,,
63600,20.83196855551916,1.699,5.468476180397072,3.512025642225446e-05,,
63800,20.89747789059941,1.684,5.387061176744107,3.507346404005428e-05,,
64000,20.962987225679658,1.7035,5.493139774676186,3.5026671657854104e-05,,
64113,21.0,,,,1.8450345993041992,6.328318742039486
64200,21.02849656075991,1.6687,5.305266465882114,3.4979879275653926e-05,,
64400,21.09400589584016,1.6614,5.266679036159852,3.493308689345375e-05,,
64600,21.159515230920405,1.6587,5.252478182541623,3.488629451125357e-05,,
64800,21.225024566000656,1.6588,5.253003456623143,3.4839502129053394e-05,,
65000,21.290533901080906,1.681,5.3709242107655655,3.4792709746853216e-05,,
65200,21.356043236161153,1.6696,5.310043354979061,3.474591736465303e-05,,
65400,21.421552571241403,1.672,5.322802764197557,3.4699124982452855e-05,,
65600,21.48706190632165,1.6496,5.204897451751827,3.465233260025268e-05,,
65800,21.5525712414019,1.6593,5.255630615086338,3.46055402180525e-05,,
66000,21.61808057648215,1.6847,5.390833439705831,3.455874783585232e-05,,
66200,21.683589911562397,1.6707,5.315887616424036,3.4511955453652145e-05,,
66400,21.749099246642647,1.6714,5.319610040451944,3.446516307145197e-05,,
66600,21.814608581722897,1.66,5.259310844446898,3.441837068925179e-05,,
66800,21.880117916803144,1.6839,5.386522497560841,3.437157830705161e-05,,
67000,21.945627251883394,1.6786,5.358049448554267,3.4324785924851436e-05,,
67166,22.0,,,,1.8298988342285156,6.233256034470884
67200,22.01113658696364,1.6392,5.1510470258393175,3.427799354265126e-05,,
67400,22.07664592204389,1.6349,5.128945076873893,3.423120116045108e-05,,
67600,22.14215525712414,1.6529,5.222101985209703,3.41844087782509e-05,,
67800,22.207664592204388,1.6395,5.152592571767366,3.4137616396050726e-05,,
68000,22.27317392728464,1.651,5.21218941136499,3.409082401385055e-05,,
68200,22.33868326236489,1.6495,5.204376988030272,3.404403163165037e-05,,
68400,22.404192597445135,1.6541,5.2283722690098,3.3997239249450194e-05,,
68600,22.469701932525386,1.6634,5.277222934615995,3.3950446867250016e-05,,
68800,22.535211267605632,1.6303,5.105406110649619,3.390365448504983e-05,,
69000,22.600720602685882,1.6389,5.149501943505504,3.3856862102849655e-05,,
69200,22.666229937766133,1.6277,5.092149296088863,3.381006972064948e-05,,
69400,22.73173927284638,1.6334,5.121257426437843,3.37632773384493e-05,,
69600,22.79724860792663,1.632,5.114092682531806,3.371648495624912e-05,,
69800,22.86275794300688,1.6573,5.2451298581133905,3.3669692574048945e-05,,
70000,22.928267278087127,1.6512,5.213231953498,3.362290019184877e-05,,
70200,22.993776613167377,1.6771,5.350018399174292,3.357610780964859e-05,,
70219,23.0,,,,1.8145469427108765,6.138294548285948
70400,23.059285948247624,1.6338,5.123306339163645,3.352931542744841e-05,,
70600,23.124795283327874,1.6252,5.0794348225626695,3.3482523045248235e-05,,
70800,23.190304618408124,1.622,5.063206610118453,3.343573066304806e-05,,
71000,23.25581395348837,1.6237,5.071821381836889,3.338893828084788e-05,,
